region,importance,importance2
ReHo_17Networks_LH_ContA_IPS_2,0.0168894309654,0.0169
ReHo_17Networks_RH_DorsAttnB_FEF_3,0.016439299412841,0.0164
fALFF_17Networks_LH_DorsAttnB_PostC_5,0.010298667381502,0.0103
DC_17Networks_LH_SalVentAttnA_FrMed_1,0.010067415129954,0.01
fALFF_17Networks_RH_SalVentAttnB_PFCmp_2,0.01000228641003,0.01
fALFF_cHipp_L,0.0097212404703,0.0097
DC_17Networks_RH_DorsAttnB_PostC_8,0.009060176283365,0.0091
fALFF_17Networks_LH_DefaultA_pCunPCC_7,0.009032307713755,0.0091
DC_17Networks_RH_SomMotB_S2_3,0.008829561264615,0.0088
fALFF_17Networks_RH_ContB_PFCld_3,0.008686267503212,0.0087
gmd_dlPu_L,0.008647229591416,0.0086
fALFF_17Networks_LH_LimbicA_TempPole_5,0.008042058009826,0.008
fALFF_17Networks_LH_TempPar_1,0.008012229475761,0.008
ReHo_cHipp_L,0.007927039850137,0.0079
fALFF_17Networks_RH_DorsAttnA_TempOcc_3,0.007888208776907,0.0079
fALFF_17Networks_LH_LimbicA_TempPole_6,0.007853502666092,0.0079
ReHo_17Networks_RH_VisCent_ExStr_6,0.007807766945775,0.0078
fALFF_17Networks_RH_DefaultA_PFCd_2,0.007761493738319,0.0078
fALFF_17Networks_RH_SomMotA_4,0.007730090854864,0.0077
fALFF_Stha_R,0.007647113200125,0.0076
fALFF_17Networks_RH_DorsAttnB_PostC_5,0.007632110512437,0.0076
fALFF_17Networks_RH_DefaultB_Temp_1,0.007543558281854,0.0075
fALFF_17Networks_RH_SomMotA_7,0.00745200028234,0.0075
gmd_17Networks_LH_DefaultB_PFCv_4,0.007412665972452,0.0074
fALFF_17Networks_RH_SalVentAttnB_PFCmp_1,0.007315014768494,0.0073
ReHo_17Networks_LH_SomMotA_8,0.00722919826699,0.0072
gmd_17Networks_RH_SomMotA_7,0.007216187485509,0.0072
gmd_17Networks_LH_LimbicB_OFC_1,0.007186905595601,0.0072
fALFF_17Networks_LH_SalVentAttnB_PFCmp_1,0.007176340207133,0.0072
DC_17Networks_RH_SalVentAttnA_ParMed_2,0.007115819138158,0.0071
fALFF_17Networks_RH_DorsAttnB_PostC_3,0.007079982857151,0.0071
fALFF_17Networks_RH_SalVentAttnB_PFClv_1,0.007056154117042,0.0071
fALFF_cTtha_L,0.007051460497067,0.0071
DC_17Networks_RH_TempPar_4,0.006954802333272,0.007
fALFF_17Networks_RH_ContB_PFClv_4,0.00686419420453,0.0069
DC_17Networks_RH_SomMotA_6,0.006786020314631,0.0068
fALFF_17Networks_LH_LimbicA_TempPole_1,0.006764928524666,0.0068
fALFF_rHipp_R,0.006719680112853,0.0067
fALFF_17Networks_LH_ContA_PFClv_2,0.006692647511139,0.0067
fALFF_17Networks_LH_ContA_PFCl_3,0.006639234691487,0.0066
fALFF_17Networks_RH_DefaultA_PFCm_4,0.006629022149741,0.0066
ReHo_17Networks_RH_SalVentAttnA_Ins_3,0.006584686771853,0.0066
fALFF_17Networks_LH_SomMotB_Cent_3,0.00657208962,0.0066
fALFF_rTtha_R,0.006568020590281,0.0066
fALFF_17Networks_LH_ContA_IPS_1,0.006557710246761,0.0066
DC_17Network_9,0.006522138594576,0.0065
fALFF_17Networks_RH_SalVentAttnA_FrMed_2,0.006359654152475,0.0064
fALFF_17Networks_RH_ContA_PFCl_3,0.006343115379398,0.0063
fALFF_17Networks_LH_ContA_IPS_3,0.006311708123229,0.0063
ReHo_17Networks_LH_SomMotA_9,0.006235047601056,0.0062
